title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Need for Speed: Porsche Unleashed,Racing,"Destination Software, Inc",Pocketeers,GBA,0.48,0.35,0.00,0.13,0.01,0.00,2004-03-15,1
Wu-Tang: Shaolin Style,Fighting,Activision,Paradox Development,PS,0.48,0.27,0.00,0.18,0.03,0.00,1999-10-31,1
Madagascar: Operation Penguin,Action,Activision,Vicarious Visions,GBA,0.48,0.35,0.00,0.13,0.01,0.00,2005-11-07,1
Pictionary: Ultimate Edition,Misc,THQ,Page 44 Studios,"PS3, X360",0.48,0.31,0.00,0.11,0.06,0.00,2011-11-15,2
Dynasty Warriors 5 Empires,Action,KOEI,Omega Force,"PS2, X360",0.47,0.22,0.12,0.10,0.04,63.50,2006-03-28,2
Get Fit with Mel B,Sports,Deep Silver,Lightning Fish,"PS3, Wii",0.47,0.18,0.00,0.21,0.08,0.00,2011-09-14,2
Need for Speed: The Run,Racing,Electronic Arts,Firebrand Games,"3DS, Wii",0.47,0.20,0.01,0.22,0.05,0.00,2011-11-15,2
MX SuperFly featuring Ricky Carmichael,Racing,THQ,Pacific Coast Power & Light,"GC, PS2, XB",0.47,0.28,0.00,0.15,0.04,0.00,2002-06-17,3
Dishonored: Death of the Outsider,Action,Bethesda Softworks,Arkane Studios,"PS4, XOne",0.47,0.17,0.00,0.24,0.06,0.00,2017-09-15,2
NHL Hitz 20-03,Sports,Midway Games,EA Black Box,"GC, PS2, XB",0.47,0.28,0.00,0.15,0.04,0.00,2002-09-15,3
Jikkyou Powerful Pro Yakyuu 2010,Sports,Konami,PawaPuro Production,"PS3, PSP",0.47,0.00,0.47,0.00,0.00,0.00,2010-07-15,2
FlingSmash,Action,Nintendo,Artoon,Wii,0.47,0.37,0.07,0.01,0.02,38.00,2010-11-07,1
Jake Power: Fireman,Adventure,Ubisoft,Magic Pockets,DS,0.47,0.08,0.00,0.34,0.05,0.00,2009-02-10,1
NBA Live 15,Sports,Electronic Arts,EA Tiburon,"PS4, XOne",0.47,0.34,0.00,0.06,0.06,0.00,2014-10-28,2
"Warhammer 40,000: Dawn of War II",Strategy,THQ,Relic,PC,0.47,0.00,0.00,0.45,0.01,87.00,2009-02-19,1
Resident Evil: Origins Collection,Action-Adventure,Capcom,Capcom,"PS4, XOne",0.47,0.14,0.07,0.20,0.06,0.00,2016-01-19,2
FIFA Street,Sports,EA Sports BIG,EA Canada,"GC, PS2, XB",0.47,0.27,0.00,0.15,0.04,0.00,2005-02-22,3
Quest 64,Role-Playing,THQ,Imagineer,N64,0.47,0.38,0.00,0.08,0.01,54.00,1998-06-11,1
Emergency Heroes,Racing,Ubisoft,Ubisoft Barcelona / Ubisoft Reflections,Wii,0.47,0.14,0.00,0.27,0.05,0.00,2008-05-27,1
Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,Role-Playing,Level 5,Level 5,3DS,0.47,0.00,0.46,0.01,0.00,0.00,2012-12-13,1
Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,Sports,Level 5,Level 5,DS,0.47,0.00,0.47,0.00,0.00,0.00,2010-12-16,1
Dead Space Extraction,Shooter,Electronic Arts,Visceral Games,Wii,0.47,0.32,0.01,0.10,0.04,82.00,2009-09-28,1
Aggressive Inline,Sports,Acclaim Entertainment,"Z-Axis, Ltd.","GC, PS2, XB",0.47,0.26,0.00,0.15,0.04,88.67,2002-05-28,3
Doom 64,Shooter,Midway Games,Midway Studios San Diego,N64,0.47,0.38,0.00,0.08,0.01,74.00,1997-03-31,1
Knack 2,Platform,Sony Interactive Entertainment,SIE Japan Studio,PS4,0.47,0.14,0.01,0.25,0.07,67.00,2017-09-05,1
Detective Pikachu,Adventure,Nintendo,Creatures Inc.,3DS,0.47,0.15,0.12,0.17,0.03,71.00,2018-03-23,1
Kong: The 8th Wonder of the World,Action,Ubisoft,Ubisoft Casablanca,GBA,0.47,0.33,0.00,0.12,0.01,0.00,2005-11-21,1
Karate,Fighting,Unknown,Ultravision,2600,0.47,0.44,0.00,0.03,0.00,0.00,1980-01-01,1
Fantavision,Puzzle,Sony Computer Entertainment,SCEI,PS2,0.47,0.14,0.19,0.11,0.04,80.00,2000-10-25,1
Frogger's Adventures: The Rescue,Platform,Konami,Konami,"GC, PS2",0.47,0.28,0.00,0.15,0.04,0.00,2003-10-29,2
Victorious Boxers: Ippo's Road to Glory,Fighting,Empire Interactive,New,PS2,0.47,0.05,0.38,0.04,0.01,0.00,2001-11-05,1
