title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Diabolik Lovers,Visual Novel,Idea Factory,Rejet,PSP,0.05,0.00,0.05,0.00,0.00,0.00,2012-10-11,1
Devil's Third,Action,Nintendo,Valhalla Game Studios,WiiU,0.05,0.03,0.00,0.02,0.00,38.00,2015-12-11,1
Nobunaga's Ambition II,Strategy,Tecmo Koei,Koei,3DS,0.05,0.00,0.05,0.00,0.00,0.00,2015-08-06,1
Shin Sangoku Musou 5 Special,Action,KOEI,Omega Force,PSP,0.05,0.00,0.05,0.00,0.00,0.00,2009-10-22,1
Shin Sangoku Musou 5 Empires,Action,KOEI,Koei,PSP,0.05,0.00,0.05,0.00,0.00,0.00,2010-01-21,1
Gravel,Racing,Milestone S.r.l.,Milestone S.r.l,XOne,0.05,0.04,0.00,0.00,0.00,0.00,2018-02-27,1
Zyuden Sentai Kyoryuger: Game on Gaburincho,Action,Namco Bandai Games,Bandai Namco Games,3DS,0.05,0.00,0.05,0.00,0.00,0.00,2013-08-08,1
rain,Action-Adventure,Sony Computer Entertainment,PlayStation C.A.M.P.!,PS3,0.05,0.00,0.05,0.00,0.00,0.00,2013-10-01,1
M&M's Adventure,Adventure,Zoo Digital Publishing,Nikitova Games,DS,0.05,0.04,0.00,0.00,0.00,0.00,2008-12-02,1
Zone of the Enders HD Edition,Simulation,Konami,High Voltage Software,PS3,0.05,0.00,0.05,0.00,0.00,0.00,2013-07-23,1
Zoop,Puzzle,Viacom,Hookstone Productions,PS,0.05,0.03,0.00,0.02,0.00,0.00,1995-10-31,1
Tour de France 2014,Sports,Focus Home Interactive,Cyanide Studio,"PS3, PS4",0.05,0.00,0.00,0.04,0.01,0.00,2014-06-20,2
Tour de France 2011,Sports,Unknown,Cyanide Studio,X360,0.05,0.00,0.00,0.04,0.00,0.00,,1
Walt Disney Pictures Presents Enchanted,Platform,Disney Interactive Studios,Altron,DS,0.05,0.04,0.00,0.01,0.00,0.00,2007-11-06,1
Backyard NFL Football,Sports,Atari,Humongous Entertainment,"DS, Wii",0.05,0.04,0.00,0.00,0.00,0.00,2007-10-23,2
Hellblade: Senua's Sacrifice,Action-Adventure,505 Games,Ninja Theory,PS4,0.05,0.03,0.00,0.01,0.01,83.00,2018-12-04,1
Ship Simulator Extremes,Simulation,Paradox Interactive,VSTEP,PC,0.05,0.00,0.00,0.04,0.01,0.00,2010-09-21,1
NightCaster II: Equinox,Action,Jaleco,Jaleco Entertainment,XB,0.05,0.03,0.00,0.01,0.00,0.00,2002-12-11,1
Nicktoons: Attack of the Toybots,Platform,THQ,Natsume,DS,0.05,0.04,0.00,0.00,0.00,0.00,2007-10-23,1
Next Generation of Chaos,Role-Playing,Idea Factory,Neverland,PS2,0.05,0.00,0.05,0.00,0.00,0.00,2002-04-25,1
New Tokyo Legacy: Operation Babel,Role-Playing,NIS America,Experience Inc.,PSV,0.05,0.01,0.04,0.00,0.00,0.00,2017-05-16,1
Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,Misc,Takara Tomy,Takara Tomy,DS,0.05,0.00,0.05,0.00,0.00,0.00,2008-03-27,1
SUPERBEAT: XONiC,Music,PM Studios,Nurijoy,"NS, PS4",0.05,0.05,0.00,0.00,0.00,0.00,2017-06-06,2
Activision Hits: Remixed,Misc,Activision,Digital Eclipse Software,PSP,0.05,0.05,0.00,0.00,0.00,74.00,2006-11-08,1
Monster Hunter Frontier G,Role-Playing,Capcom,Capcom,PS3,0.05,0.00,0.05,0.00,0.00,0.00,2013-11-20,1
Raze's Hell,Shooter,Majesco,Artech Studios,XB,0.05,0.04,0.00,0.01,0.00,0.00,2005-04-21,1
Blackguards 2,Strategy,Kalypso Media,Daedalic Entertainment,"PS4, XOne",0.05,0.04,0.00,0.00,0.01,0.00,2017-09-12,2
Black Sigil: Blade of the Exiled,Role-Playing,Graffiti,Studio Archcraft,DS,0.05,0.05,0.00,0.00,0.00,60.00,2009-06-09,1
Black Jack vs. Matsudajun,Misc,Pony Canyon,Pony Canyon,PS,0.05,0.03,0.00,0.02,0.00,0.00,2000-08-10,1
This Is the Police 2,Strategy,THQ Nordic,Weappy Studio,"NS, PS4, XOne",0.05,0.05,0.00,0.00,0.00,0.00,2018-09-25,3
Short Track Racing: Trading Paint,Racing,THQ,Big Ant Studios,PS2,0.05,0.02,0.00,0.02,0.01,0.00,2009-05-11,1
Detective Conan: Marionette Symphony,Adventure,Namco Bandai Games,Bandai Namco Games,3DS,0.05,0.00,0.05,0.00,0.00,0.00,2013-04-25,1
Ray Gigant,Role-Playing,Acttil,Experience Inc.,PSV,0.05,0.00,0.05,0.00,0.00,0.00,2016-05-03,1
Rave Master,Fighting,Konami,Konami,GC,0.05,0.00,0.05,0.00,0.00,68.00,2005-03-08,1
"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",Adventure,505 Games,Banpresto,PS2,0.05,0.00,0.05,0.00,0.00,0.00,2008-02-15,1
Lufia: The Ruins of Lore,Role-Playing,Atlus,Atelier Double,GBA,0.05,0.04,0.00,0.01,0.00,0.00,2003-05-06,1
"Love, Election and Chocolate Portable",Visual Novel,Kadokawa Shoten,ASCII Media Works,PSP,0.05,0.00,0.05,0.00,0.00,0.00,2012-09-27,1
Crypt Killer,Shooter,Konami,Konami Computer Entertainment Tokyo,PS,0.04,0.02,0.00,0.01,0.00,0.00,1997-02-28,1
Cube Creator DX,Adventure,Arc System Works,Big John Games,3DS,0.04,0.00,0.04,0.00,0.00,0.00,2017-04-27,1
That's You!,Party,Sony Interactive Entertainment,Wish Studio,PS4,0.04,0.04,0.00,0.00,0.01,0.00,2017-10-24,1
Rapala Trophies,Sports,Activision,Sand Grain Studios,PSP,0.04,0.04,0.00,0.00,0.00,0.00,2006-09-01,1
100 Classic Games,Misc,Rondomedia,Easy Interactive,DS,0.04,0.00,0.00,0.03,0.00,0.00,2011-04-08,1
11eyes: CrossOver,Adventure,5pb,Genterprise,"PSP, X360",0.04,0.00,0.04,0.00,0.00,0.00,2009-04-02,2
Zombi Daisuki,Action,ChunSoft,ChunSoft,DS,0.04,0.00,0.04,0.00,0.00,0.00,2011-01-20,1
Famicom Remix Best Choice,Misc,Nintendo,Nintendo EAD Tokyo,3DS,0.04,0.00,0.04,0.00,0.00,0.00,2015-08-27,1
Crushed Baseball,Sports,Summitsoft,Griptonite Games,GBA,0.04,0.03,0.00,0.01,0.00,0.00,2004-09-06,1
Real Soccer 2008,Sports,Ubisoft,Gameloft,DS,0.04,0.03,0.00,0.00,0.00,0.00,2008-02-05,1
Go Diego Go!: Safari Rescue,Action,2K Play,High Voltage Software,PS2,0.04,0.02,0.00,0.02,0.01,0.00,2008-02-11,1
Harley-Davidson: Road Trip,Racing,Destineer,TBA,Wii,0.04,0.04,0.00,0.00,0.00,0.00,2010-06-28,1
MLB 2K12 / NBA 2K12 Combo Pack,Sports,2K Sports,2K Sports,X360,0.04,0.04,0.00,0.00,0.00,0.00,2012-03-06,1
Fading Shadows,Puzzle,Agetec,Ivolgamus,PSP,0.04,0.03,0.00,0.00,0.00,70.00,2008-07-03,1
Touhou Genso Wanderer Reloaded,Role-Playing,NIS America,AQUA STYLE,"NS, PS4",0.04,0.02,0.01,0.00,0.00,0.00,2018-07-17,2
Derby Tsuku 5: Derby Uma o Tsukurou!,Sports,Sega,Team Land Ho!,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2006-01-19,1
Thomas and Friends: Steaming around Sodor,Action,Avanquest Software,GSP,3DS,0.04,0.00,0.00,0.04,0.00,0.00,2015-10-02,1
This War of Mine,Action,11 bit studios,11 bit studios,"PS4, XOne",0.04,0.00,0.00,0.03,0.00,0.00,2016-01-29,2
Chibi Maruko-Chan DS: Maru-Chan no Machi,Puzzle,Namco Bandai,Banpresto,DS,0.04,0.00,0.04,0.00,0.00,0.00,2009-02-05,1
Cheer We Go!,Misc,Natsume,Natsume,DS,0.04,0.04,0.00,0.00,0.00,0.00,2010-03-23,1
Luxor: Pharaoh's Challenge,Puzzle,Mumbo Jumbo,MumboJumbo,Wii,0.04,0.01,0.00,0.02,0.00,0.00,2008-01-15,1
Texas Hold 'Em Poker DS,Misc,Majesco,Skyworks Technologies,DS,0.04,0.03,0.00,0.00,0.00,0.00,2005-11-08,1
Black Stone: Magic & Steel,Role-Playing,Xicat Interactive,Unknown,XB,0.04,0.03,0.00,0.01,0.00,0.00,2003-03-19,1
Akko ni Omakase! Brain Shock,Misc,Taito,Taito Corporation,DS,0.04,0.00,0.04,0.00,0.00,0.00,2006-12-07,1
Akko ni Omakase! Brain Shock,Misc,Taito,Taito,DS,0.04,0.00,0.04,0.00,0.00,0.00,2006-12-07,1
New Little King's Story,Strategy,Konami Digital Entertainment,Konami,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2012-03-29,1
Thoroughbred Breeder II Plus,Simulation,Hect,Hector,PS,0.04,0.00,0.04,0.00,0.00,0.00,1995-11-17,1
Heavy Rain: Move Edition,Adventure,Sony Computer Entertainment,Quantic Dream,PS3,0.04,0.00,0.00,0.03,0.01,0.00,2010-10-08,1
Heathcliff! Frantic Foto,Misc,Storm City Games,Storm City Games,DS,0.04,0.04,0.00,0.00,0.00,0.00,2010-10-15,1
Ragnarok Odyssey Ace,Role-Playing,Xseed Games,Game Arts,PS3,0.04,0.03,0.00,0.00,0.01,0.00,2014-04-01,1
Rad Rodgers,Platform,THQ Nordic,3D Realms,"PS4, XOne",0.04,0.04,0.00,0.00,0.00,0.00,2018-02-21,2
Cy Girls,Action,Konami,Konami Computer Entertainment Japan,PS2,0.04,0.02,0.00,0.01,0.00,0.00,2004-03-23,1
Rally Challenge 2000,Racing,SouthPeak Interactive,Europress,N64,0.04,0.03,0.00,0.01,0.00,0.00,2000-06-30,1
Famicom Mini: Clu Clu Land,Puzzle,Nintendo,Nintendo,GBA,0.04,0.00,0.04,0.00,0.00,0.00,2004-05-21,1
Train Simulator 2016,Simulation,Dovetail Games,Dovetail Games,PC,0.04,0.00,0.00,0.04,0.00,0.00,2015-09-17,1
Zen-Nippon GT Senshuken,Racing,Banpresto,Kaneko Co. Ltd,SNES,0.04,0.00,0.04,0.00,0.00,0.00,1995-09-29,1
Genkai Tokki: Seven Pirates,Role-Playing,Compile Heart,Compile Heart,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2016-08-04,1
Tenshou Gakuen Gekkouroku,Adventure,Asmik Ace Entertainment,Asmik Ace Entertainment,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2006-11-22,1
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,Sports,Konami,WinkySoft,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2007-01-25,1
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,Adventure,Konami,WinkySoft,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2006-12-21,1
Looney Tunes Duck Dodgers Starring: Daffy Duck,Platform,Infogrames,Paradigm Entertainment,N64,0.04,0.03,0.00,0.01,0.00,0.00,2000-09-16,1
Logic Machines,Puzzle,City Interactive,City Interactive,DS,0.04,0.03,0.00,0.00,0.00,0.00,2010-10-13,1
Farm Frenzy 3,Strategy,Alawar Entertainment,"Alawar Entertainment, Inc.",PC,0.04,0.00,0.00,0.03,0.01,0.00,2009-07-21,1
Looney Tunes: Cartoon Conductor,Misc,Eidos Interactive,Amaze Entertainment,DS,0.04,0.04,0.00,0.00,0.00,0.00,2008-06-10,1
Shukufuku no Campanella Portable,Adventure,Kadokawa Shoten,Kadokawa Shoten,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-09-30,1
Gakuen Hetalia Portable,Adventure,Idea Factory,Idea Factory,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2011-03-24,1
WarTech: Senko no Ronde,Fighting,Ubisoft,G.Rev,X360,0.04,0.04,0.00,0.00,0.00,0.00,2007-05-29,1
WarJetz,Shooter,3DO,3DO,PS2,0.04,0.02,0.00,0.02,0.01,0.00,2001-06-27,1
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",Adventure,Marvelous Interactive,Marvelous Interactive,DS,0.04,0.00,0.04,0.00,0.00,0.00,2006-10-26,1
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,Adventure,Konami,Konami,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2006-11-16,1
Living Legends: Frozen Beauty,Action,Big Fish Games,Big Fish Games,PC,0.04,0.00,0.00,0.03,0.00,0.00,2014-03-04,1
Horses 3D,Misc,Ubisoft,Ubisoft,3DS,0.04,0.04,0.00,0.00,0.00,0.00,2012-03-27,1
Tennis Masters Series 2003,Sports,Hip Interactive,Microids,XB,0.04,0.03,0.00,0.01,0.00,0.00,2003-08-07,1
Reco Love: Blue Ocean,Adventure,Kadokawa Games,Dingo Inc.,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2016-10-01,1
Rebel Raiders: Operation Nighthawk,Simulation,XS Games,Kando Games,"PS2, Wii",0.04,0.03,0.00,0.01,0.00,0.00,2006-03-21,2
Arcana Heart 3: Love Max!!!!!,Fighting,Aksys Games,Examu Inc.,PSV,0.04,0.02,0.02,0.00,0.01,0.00,2014-09-23,1
The Chase: Felix Meets Felicity,Action,Atari,Razorback Developments,DS,0.04,0.04,0.00,0.00,0.00,0.00,2009-01-27,1
The Caligula Effect: Overdose,Role-Playing,NIS America,Historia,PS4,0.04,0.00,0.04,0.00,0.00,0.00,2019-03-12,1
Detective Conan: Phantom Rhapsody,Adventure,Namco Bandai Games,Bandai Namco Games,3DS,0.04,0.00,0.04,0.00,0.00,0.00,2014-04-17,1
Nobunaga's Ambition (2013),Strategy,Tecmo Koei,Koei Tecmo Games,3DS,0.04,0.00,0.04,0.00,0.00,0.00,2013-09-19,1
Chicken Shoot,Adventure,Zoo Digital Publishing,Zuxxez,GBA,0.04,0.03,0.00,0.01,0.00,0.00,2005-09-23,1
Alia's Carnival! Sacrament,Adventure,Dramatic Create,Dramatic Create,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2015-10-29,1
All Points Bulletin,Action,Electronic Arts,Realtime Worlds,PC,0.04,0.00,0.00,0.03,0.01,70.00,2010-06-29,1
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,Misc,Success,Success,DS,0.04,0.00,0.04,0.00,0.00,0.00,2005-11-24,1
The Treasures of Montezuma,Puzzle,O-Games,Most Wanted Entertainment,DS,0.04,0.02,0.00,0.02,0.00,0.00,2010-09-28,1
Sid Meier's Railroads!,Simulation,2K Games,Firaxis Games,PC,0.04,0.01,0.00,0.03,0.00,0.00,2006-10-17,1
Holly Hobbie & Friends,Misc,Majesco,FrontLine Studios,DS,0.04,0.04,0.00,0.00,0.00,0.00,2007-10-08,1
FIFA Soccer 2003 (weekly jp sales),Sports,EA Sports,EA Canada,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2002-11-14,1
Redout,Racing,505 Games,Nicalis,"PS4, XOne",0.04,0.04,0.00,0.00,0.00,0.00,2017-08-29,2
Record of Agarest War Mariage,Role-Playing,Compile Heart,Idea Factory,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2012-07-19,1
D.C.F.S.: Da Capo Four Seasons,Adventure,Kadokawa Shoten,Kadokawa Shoten,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2005-12-15,1
Farm Frenzy,Strategy,Mumbo Jumbo,Melesta,PC,0.04,0.04,0.00,0.00,0.00,0.00,2008-01-30,1
Warhammer: Dark Omen,Strategy,Electronic Arts,Games Workshop,PS,0.04,0.02,0.00,0.01,0.00,0.00,1998-04-07,1
"Warhammer 40,000: Inquisitor - Martyr",Action,Neocore Games,Neocore Games,"PS4, XOne",0.04,0.04,0.00,0.00,0.00,0.00,2018-08-28,2
"Warhammer 40,000: Dawn of War III",Strategy,Sega,Relic Entertainment,PC,0.04,0.00,0.00,0.04,0.00,0.00,2017-04-27,1
King of Fighters: Maximum Impact Regulation A,Fighting,SNK Playmore,SNK Playmore Corporation,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2007-07-26,1
Silent Hunter: Wolves of the Pacific,Simulation,Ubisoft,Ubisoft Romania,PC,0.04,0.00,0.00,0.04,0.00,0.00,2007-03-20,1
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,Sports,Sega,Sega,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2013-10-17,1
Chaos Wars,Strategy,O~3 Entertainment,Idea Factory,PS2,0.04,0.00,0.04,0.00,0.00,68.00,2008-06-03,1
Magical Starsign (JP sales),Role-Playing,Nintendo,Brownie Brown,DS,0.04,0.00,0.04,0.00,0.00,0.00,2006-10-23,1
Free Running,Sports,Graffiti,Core Design Ltd.,Wii,0.04,0.02,0.00,0.02,0.00,0.00,2010-04-27,1
Harry Potter and the Prisoner of Azkaban,Adventure,Electronic Arts,KnowWonder,PC,0.04,0.00,0.00,0.03,0.00,0.00,2004-05-25,1
Go Go Ackman 3,Platform,Banpresto,Aspect,SNES,0.04,0.00,0.04,0.00,0.00,0.00,1995-12-15,1
Quiz Mobile Gundam: Toi Senshi DX,Puzzle,Namco Bandai,Bandai Namco Games,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2006-07-13,1
Mahjong Taikai,Misc,KOEI,Koei,DS,0.04,0.00,0.04,0.00,0.00,0.00,2004-12-02,1
The Dark Spire,Role-Playing,Atlus,Success,DS,0.04,0.04,0.00,0.00,0.00,0.00,2009-04-14,1
Germany's Next Topmodel 2011,Simulation,7G//AMES,SevenOne Intermedia GmbH,"DS, Wii",0.04,0.00,0.00,0.03,0.00,0.00,2011-03-18,2
Zac to Ombra: Maboroshi no Yuuenchi,Adventure,Konami,Konami,DS,0.04,0.00,0.04,0.00,0.00,0.00,2010-10-28,1
Fashion Week Jr. Designer,Simulation,505 Games,505 Games,DS,0.04,0.04,0.00,0.00,0.00,0.00,2009-06-23,1
Teenage Zombies: Invasion of the Alien Brain Thingys,Adventure,Ignition Entertainment,InLight Entertainment,DS,0.04,0.03,0.00,0.00,0.00,0.00,2008-04-15,1
Trick x Logic: Season 2,Adventure,Sony Computer Entertainment,ChunSoft,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-09-16,1
Diabolik Lovers: Dark Fate,Visual Novel,Idea Factory,Rejet,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2015-02-26,1
No Rules: Get Phat,Action,TDK Mediactive,Flying Tiger Development,GBA,0.04,0.03,0.00,0.01,0.00,0.00,2001-11-25,1
Norn9: Norn + Nonette,Visual Novel,Idea Factory,Regista,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2013-05-30,1
Hakuoki Zuisouroku Omokage Hana,Visual Novel,Idea Factory,Idea Factory,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2015-02-19,1
Hajime no Ippo: The Fighting! (2014),Sports,Namco Bandai Games,Namco Bandai Games,PS3,0.04,0.00,0.04,0.00,0.00,0.00,2014-12-11,1
The Talos Principle,Puzzle,Nighthawk Interactive,Croteam,PS4,0.04,0.00,0.00,0.04,0.01,0.00,2015-10-13,1
Tears to Tiara Gaiden: Avalon no Nazo,Strategy,Aquaplus,Aquaplus,PS3,0.04,0.00,0.04,0.00,0.00,0.00,2009-09-17,1
Little Red Riding Hood's Zombie BBQ,Shooter,Destineer,EnjoyUp Games,DS,0.04,0.03,0.00,0.00,0.00,0.00,2008-11-06,1
Farming Simulator 17: Straw Harvest,Simulation,Aerosoft,Creative Mesh,PC,0.04,0.00,0.00,0.04,0.00,0.00,2017-11-30,1
Mahjong * Dream C Club,Misc,D3Publisher,D3 Publisher,PS3,0.04,0.00,0.04,0.00,0.00,0.00,2012-04-05,1
Cyber Troopers Virtual-On Marz,Fighting,Sega,Hitmaker,PS2,0.04,0.02,0.00,0.01,0.00,0.00,2003-10-14,1
Renai Revenge,Adventure,TGL,TGL,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2015-10-29,1
GoPets: Vacation Island,Simulation,Konami,1st Playable Productions,DS,0.04,0.03,0.00,0.00,0.00,0.00,2008-03-18,1
Hot Potato!,Action,BAM! Entertainment,Pukka Games,GBA,0.04,0.03,0.00,0.01,0.00,77.00,2001-07-01,1
Tao Adventure: Curse Demon,Role-Playing,Konami,Konami,DS,0.04,0.03,0.00,0.00,0.00,0.00,2006-03-21,1
Naruto Shippuuden: Dairansen! Kage Bunsen Emaki,Action,Takara Tomy,Takara Tomy,DS,0.04,0.00,0.04,0.00,0.00,0.00,2008-02-14,1
Fisherman's Challenge,Sports,Konami,Konami,PS2,0.04,0.02,0.00,0.02,0.01,0.00,2003-01-19,1
Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,Adventure,D3 Publisher,Tomcat System,DS,0.04,0.00,0.04,0.00,0.00,0.00,2007-05-31,1
The Sum of All Fears,Action,Ubisoft,Ubisoft,GBA,0.04,0.03,0.00,0.01,0.00,0.00,2002-11-19,1
Gundam Battle Online,Action,Bandai,Bandai,DC,0.04,0.00,0.04,0.00,0.00,0.00,2001-06-28,1
Denki Blocks!,Puzzle,Majesco,Denki,GBA,0.04,0.03,0.00,0.01,0.00,80.00,2001-10-30,1
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,Action,Namco Bandai,Bandai Namco Games,DS,0.04,0.00,0.04,0.00,0.00,0.00,2009-02-19,1
Natsuiro High School: Seishun Hakusho,Action,D3Publisher,Unknown,"PS3, PS4",0.04,0.00,0.04,0.00,0.00,0.00,2015-06-04,2
National Geographic Panda (US sales),Simulation,Namco Bandai,Namco Bandai Games,DS,0.04,0.04,0.00,0.00,0.00,0.00,2008-11-11,1
Diabolik Lovers: Lunatic Parade,Adventure,Idea Factory,Unknown,PSV,0.04,0.00,0.04,0.00,0.00,0.00,2016-02-25,1
Exstetra,Role-Playing,FuRyu Corporation,Studio Saizensen,"3DS, PSV",0.04,0.00,0.04,0.00,0.00,0.00,2013-11-07,2
R-Type Command (correct US sales),Strategy,Atlus,Irem Software Engineering,PSP,0.04,0.04,0.00,0.00,0.00,0.00,2008-05-06,1
Jonah Lomu Rugby Challenge,Sports,Sidhe Interactive,Sidhe Interactive,PC,0.04,0.00,0.00,0.04,0.01,0.00,2011-10-13,1
Jojo's Fashion Show: Design in a Dash!,Simulation,Ubisoft,GameLab,DS,0.04,0.04,0.00,0.00,0.00,0.00,2009-01-27,1
Trine 2: Director's Cut,Platform,Frozenbyte,Frozenbyte,WiiU,0.04,0.00,0.00,0.04,0.00,78.00,2012-11-18,1
Resident Evil: Umbrella Corps,Shooter,Capcom,Capcom,PS4,0.04,0.00,0.04,0.00,0.00,0.00,2016-06-21,1
Challenge Me: Maths Workout,Puzzle,O-Games,Oxygen Interactive,DS,0.04,0.04,0.00,0.00,0.00,0.00,2009-05-26,1
Nanda's Island,Puzzle,Mumbo Jumbo,MumboJumbo,DS,0.04,0.04,0.00,0.00,0.00,0.00,2011-03-28,1
Balls of Fury,Sports,DSI Games,Black Lantern Studios,"DS, Wii",0.04,0.04,0.00,0.00,0.00,0.00,2007-10-05,2
Ballistic,Puzzle,Atari,Atari,PS,0.04,0.02,0.00,0.01,0.00,79.00,1999-10-31,1
The Smurfs,Adventure,Atari,Doki Denki,PS,0.04,0.02,0.00,0.02,0.00,0.00,1999-12-14,1
Naruto Shippuuden: Shinobi Retsuden III,Action,Takara Tomy,Takara Tomy,DS,0.04,0.00,0.04,0.00,0.00,0.00,2009-04-29,1
Big Mutha Truckers,Racing,DSI Games,Raylight Studios,GBA,0.04,0.03,0.00,0.01,0.00,50.00,2005-11-09,1
Greg Hastings' Tournament Paintball Max'd,Shooter,Activision,Nightlight Studios,DS,0.04,0.03,0.00,0.00,0.00,0.00,2006-01-31,1
Great Battle Full Blast,Fighting,Namco Bandai Games,Banpresto,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2012-03-01,1
Blood Will Tell: Tezuka Osamu's Dororo,Adventure,Sega,Wow Entertainment,PS2,0.04,0.02,0.00,0.02,0.01,0.00,2004-09-21,1
Justice League: Chronicles,Platform,Midway Games,Full Fat,GBA,0.04,0.03,0.00,0.01,0.00,35.00,2003-11-12,1
Mana Khemia: Alchemists of Al-Revis (JP sales),Role-Playing,NIS America,Gust,PS2,0.04,0.00,0.04,0.00,0.00,66.00,2008-04-01,1
Kiniro no Corda 2 f,Role-Playing,KOEI,Koei,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2009-02-26,1
Haunted Casino,Adventure,Societa,Societa,SAT,0.04,0.00,0.04,0.00,0.00,0.00,1996-09-27,1
B's-LOG Party♪,Adventure,Idea Factory,Idea Factory,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-05-20,1
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,Adventure,Yeti,Yeti,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-11-25,1
All-Star Fruit Racing,Racing,PQube,3DClouds.it,"NS, PS4",0.04,0.04,0.00,0.00,0.01,0.00,2018-08-21,2
WTF: Work Time Fun,Puzzle,D3 Publisher,Sony Computer Entertainment,PSP,0.04,0.04,0.00,0.00,0.00,0.00,2006-10-17,1
Maken Shao: Demon Sword,Action,Midas Interactive Entertainment,Atlus Co.,PS2,0.04,0.00,0.04,0.00,0.00,0.00,2003-07-26,1
Little Busters! Converted Edition,Adventure,Prototype,Prototype,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-11-25,1
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,Misc,Namco Bandai Games,Namco Bandai Games,PS4,0.04,0.00,0.04,0.00,0.00,0.00,2015-11-26,1
Taikou Risshiden V,Strategy,KOEI,Koei,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2009-09-17,1
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,Misc,D3 Publisher,Bisty,DS,0.04,0.00,0.04,0.00,0.00,0.00,2010-06-03,1
Rhapsody: A Musical Adventure,Role-Playing,Atlus,Nippon Ichi Software,PS,0.04,0.02,0.00,0.01,0.00,67.00,2000-03-30,1
Puyo Pop Fever,Puzzle,Ignition Entertainment,Sonic Team,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2006-05-19,1
Dai Senryaku VII: Modern Military Tactics,Strategy,Kemco,SystemSoft,XB,0.04,0.03,0.00,0.01,0.00,0.00,2005-02-16,1
Da Capo I & II Plus Situation Portable,Adventure,Kadokawa Shoten,Kadokawa Shoten,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2010-10-28,1
Forza Motorsport 3: Ultimate Collection,Racing,Microsoft Game Studios,Turn 10 Studio,X360,0.04,0.00,0.00,0.04,0.00,0.00,2010-11-18,1
Jissen Pachislot Hisshouhou! Hokuto no Ken DS,Misc,Sega,Sammy Studios,DS,0.04,0.00,0.04,0.00,0.00,0.00,2005-06-04,1
Gumby vs. the Astrobots,Action,Namco,Torus Games,GBA,0.04,0.03,0.00,0.01,0.00,0.00,2005-08-09,1
Air Conflicts: Secret Wars,Simulation,Nighthawk Interactive,Games Farm,PS4,0.04,0.03,0.00,0.00,0.01,0.00,2017-04-04,1
Ailu de Puzzle,Puzzle,Capcom,Natsume Atari,PSP,0.04,0.00,0.04,0.00,0.00,0.00,2012-07-19,1
Shin Hayarigami,Visual Novel,Nippon Ichi Software,Nippon Ichi Software,PS3,0.04,0.00,0.04,0.00,0.00,0.00,2014-08-07,1
Shin Fortune Quest: Sokutaku no Kishi,Misc,Media Works,Media Works,PS,0.04,0.00,0.04,0.00,0.00,0.00,1996-06-21,1
